datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-11-27 14:00:00,19986.0,49.98489873188405,869665.5435015627,387.44359375,7307512.033894542,0.0019574472361809044,42.955899795271044,0.09377433644859813,1118.2466606230234,3281.8019069887937,0.0,897.0,19014.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,128513.77264032389,204.56322630583477
2017-11-27 15:00:00,19938.0,49.98489873188405,867266.2683624323,387.44359375,7288914.741394542,0.0019574472361809044,42.861942327934365,0.09377433644859813,1113.7454924734907,3264.0026591308365,0.0,897.0,18966.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,128168.8726403239,204.56322630583477
2017-11-27 16:00:00,20093.0,49.98489873188405,875013.9276658742,387.44359375,7348968.498425792,0.0019574472361809044,43.16534664954241,0.09377433644859813,1128.2805146230232,3321.4793970054893,0.0,897.0,19121.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,129282.61222365723,204.56322630583477
2017-11-27 17:00:00,21078.0,50.068080905423585,924257.0346143957,387.9960461538462,7730651.185422098,0.0019611981981981982,45.09367162778932,0.09745572815533982,1223.2596977511855,3491.7479344795056,0.0,897.0,20106.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,136361.51114784728,204.56322630583477
2017-11-27 18:00:00,21226.0,50.068080905423585,931667.1105883984,387.9960461538462,7788074.600252868,0.0019611981981981982,45.383928961122656,0.09745572815533982,1237.6831455181757,3573.7184479888983,0.0,897.0,20254.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,137426.88228186787,204.56322630583477
2017-11-27 19:00:00,20618.0,49.98489873188405,901255.9995001133,387.44359375,7552376.385144543,0.0019574472361809044,44.19300644853738,0.09377433644859813,1177.5120412585372,3428.7376562140767,0.0,897.0,19646.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,133054.95597365723,204.56322630583477
2017-11-27 20:00:00,20499.0,49.98489873188405,895307.7965510192,387.44359375,7506270.5974882925,0.0019574472361809044,43.96007022743185,0.09377433644859813,1166.352895221154,3413.440689516814,0.0,897.0,19527.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,132199.89139032387,204.56322630583477
2017-11-27 21:00:00,18957.0,49.43625406822021,819511.2493371577,645.5716610068336,7075497.091648539,0.18263541490178595,154.9074145131708,0.3921543979379205,1206.3816713782667,4295.296124594116,0.0,1212.3294987132897,17670.40850128671,0.0,0.0,0.0,74.262,0,0.5,gas,9836.383124906532,118900.14908441927,204.56322630583477
2017-11-27 22:00:00,17261.0,46.45938739332755,737654.1011358702,633.5803844108018,6418172.239275061,0.18257515627632362,179.32770374421824,0.3504840340638003,1049.329048988208,4236.845568581495,0.0,1289.6374962962964,15897.100503703703,0.0,0.0,0.0,74.262,0,0.5,gas,10592.771365748444,105405.64661631914,204.56322630583477
2017-11-27 23:00:00,14690.0,45.806921954699824,619117.5264977888,630.9497604230481,5467255.692991371,0.18256181897788337,170.2153279745395,0.3502807125474871,934.0510744214981,3849.2726567064487,0.0,1277.6000000000001,13338.137999999999,0.0,0.0,0.0,74.262,0,0.5,gas,10474.995444338496,87970.09549942832,204.56322630583477
2017-11-28 00:00:00,12909.0,45.76508460978445,537539.6651922427,630.8141364707981,4819084.062322946,0.1825608548347149,155.23304312520128,0.35035204599705594,875.8125723199049,3604.119193967502,0.0,1244.9667547169813,11589.771245283018,0.0,0.0,0.0,74.262,0,0.5,gas,10155.70890524424,76497.30715535284,204.56322630583477
2017-11-28 01:00:00,12145.0,45.699332618791814,502606.99967644125,630.5488930781062,4541043.860903209,0.1825598977967077,151.61210933418647,0.35039103970961116,850.8940666504697,3515.9325358486126,0.0,1238.7897459283388,10831.94825407166,0.0,0.0,0.0,74.262,0,0.5,gas,10095.272508527463,71444.67578115349,204.56322630583477
2017-11-28 02:00:00,11644.0,44.858053417556576,479792.88479878334,646.9652938650397,4320719.621024729,0.18264285557713084,133.2780032766275,0.3578786087483035,794.2648874291707,3204.344481686034,0.0,1190.7866597938146,10378.951340206184,0.0,0.0,0.0,74.262,0,0.5,gas,9625.60609610629,68166.85397960039,204.56322630583477
2017-11-28 03:00:00,11464.0,44.858053417556576,471718.43518362317,646.9652938650397,4208279.421830832,0.18264285557713084,103.7510762767881,0.3578786087483035,733.1370455141495,2785.3184270054744,0.0,1110.0650103092785,10279.67298969072,0.0,0.0,0.0,74.262,0,0.5,gas,8835.818385127128,67440.55772601037,204.56322630583477
2017-11-28 04:00:00,11735.0,44.858053417556576,483874.967659781,646.9652938650397,4377564.388394977,0.18264285557713084,148.2055052598796,0.3578786087483035,825.1684075084314,3416.185431552317,0.0,1231.5959381443301,10429.14206185567,0.0,0.0,0.0,74.262,0,0.5,gas,10024.887661101311,68534.03708558201,204.56322630583477
2017-11-28 05:00:00,13087.0,45.80317283944512,545690.0733233362,630.9257358887447,4887973.699221847,0.18256183957795794,159.43829115634819,0.35039742897815,886.590611247441,3665.60907221963,0.0,1255.7185038560413,11757.019496143957,0.0,0.0,0.0,74.262,0,0.5,gas,10260.904963498566,77593.9400626596,204.56322630583477
2017-11-28 06:00:00,15097.0,45.89254167789344,637778.3995400375,631.2514903072346,5611329.092506668,0.1825637097535784,170.94339684014875,0.3503983478294262,942.4375312469964,3870.148415364877,0.0,1277.6000000000001,13745.137999999999,0.0,0.0,0.0,74.262,0,0.5,gas,10474.995444338496,90642.6303860267,204.56322630583477
2017-11-28 07:00:00,16467.0,46.13163373872256,700838.6040145907,656.9577585131149,6096665.333484159,0.18267331341539983,160.1700210065593,0.3963127771064297,980.9235827394536,3893.2707139057475,0.0,1240.7400133779265,15151.997986622073,0.0,0.0,0.0,74.262,0,0.5,gas,10114.354096610003,100266.77865659323,204.56322630583477
2017-11-28 08:00:00,17040.0,46.45938739332755,727386.5765219447,633.5803844108018,6339325.454596422,0.18257515627632362,179.22300469884195,0.3504840340638003,1045.2182743311662,4229.170858520074,0.0,1290.456014814815,15675.281985185184,0.0,0.0,0.0,74.262,0,0.5,gas,10600.77982285088,103929.61243066312,204.56322630583477
2017-11-28 09:00:00,18638.0,49.43625406822021,802596.7223902318,383.08135407525424,6787741.93677347,0.0019351117048657927,40.32983131159941,0.10429398949034505,990.5883027026504,2705.074787345807,0.0,897.0,17666.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,118874.10687933746,204.56322630583477
2017-11-28 10:00:00,19734.0,49.98489873188405,857069.3490211279,387.44359375,7209876.248269542,0.0019574472361809044,42.46262309175346,0.09377433644859813,1094.6155278379767,3137.8901281059234,0.0,897.0,18762.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,126703.0476403239,204.56322630583477
2017-11-28 11:00:00,20594.0,49.98489873188405,900056.3619305481,387.44359375,7543077.738894543,0.0019574472361809044,44.146027714869035,0.09377433644859813,1175.2614571837707,3425.757469173219,0.0,897.0,19622.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,132882.50597365721,204.56322630583477
2017-11-28 12:00:00,21190.0,50.068080905423585,929864.6596758032,387.9960461538462,7774106.742591329,0.0019611981981981982,45.31332582598752,0.09745572815533982,1234.1747393045835,3553.7796744325597,0.0,897.0,20218.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,137167.73795197098,204.56322630583477
2017-11-28 13:00:00,22091.0,50.3789168154219,975037.9012606975,390.6821834170854,8124229.3423777055,0.0019722604651162792,47.082471260271326,0.1030922641509434,1323.8858311078889,3833.0108604504453,0.0,897.0,21119.738,0.0,0.0,0.0,74.262,0,0.0,gas,6751.171603793032,143662.5413456448,204.56322630583477
