datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-01-01 00:00:00,16137.0,70.20023160351344,877514.3339714885,823.3600773132384,7603328.403503731,0.1697848225405762,1462.1569105057356,0.15676973891814,1840.708756952511,40667.81930569599,0.0,2308.2830000000013,13828.716999999999,0.0,0.0,0.0,0.0,0,1.0,coal,20381.132274604654,105530.20059814335,0.0
2017-01-01 01:00:00,15622.0,70.20023160351344,841361.214695679,823.3600773132384,7179297.963687413,0.1697848225405762,1374.717726897339,0.15676973891814,1759.972341409669,38808.933218381026,0.0,1793.2830000000013,13828.716999999999,0.0,0.0,0.0,0.0,0,1.0,coal,15924.615937709472,105530.20059814335,0.0
2017-01-01 02:00:00,15141.0,69.87004615277108,807666.471002222,885.9002494305238,6863056.80123022,1.3285924528301887,1215.2074413874366,0.3403108333333334,1615.1762257925575,34270.697080685604,0.0,1614.2830000000013,13526.716999999999,0.0,0.0,0.0,0.0,0,1.0,coal,14276.293066232724,102527.29060794384,0.0
2017-01-01 03:00:00,15022.0,69.87004615277108,799351.9355100422,885.9002494305238,6757634.6715479875,1.3285924528301887,1057.1049395006442,0.3403108333333334,1574.6792366258908,30737.61922679124,0.0,1495.2830000000013,13526.716999999999,0.0,0.0,0.0,0.0,0,1.0,coal,13139.742704786939,102527.29060794384,0.0
2017-01-01 04:00:00,14724.0,69.87004615277108,778530.6617565164,885.9002494305238,6493636.397217692,1.3285924528301887,661.1843885572479,0.3403108333333334,1473.2666082925575,21890.079727123008,0.0,1197.2830000000013,13526.716999999999,0.0,0.0,0.0,0.0,0,1.0,coal,10293.591379485733,102527.29060794384,0.0
2017-01-01 05:00:00,15308.0,70.05597716584374,819345.2334649436,543.2113818181818,6991714.585349292,0.0027515151515151515,1362.4600755147076,0.1315338888888889,1660.2575421950573,37629.055531814665,0.0,1725.0,13583.0,0.0,0.0,0.0,0.0,0,0.0,gas,15333.733792015842,103094.33340734505,0.0
2017-01-01 06:00:00,15449.0,69.87004615277108,829301.6772454845,854.6301633718812,7115318.450767035,0.7491886376853825,1172.275778793827,0.2485402861257367,1646.8016148866752,33218.786542076035,0.0,1937.0021078869063,13511.997892113095,0.0,0.0,0.0,0.0,0,1.0,coal,16993.271608130693,102375.52285308347,0.0
2017-01-01 07:00:00,15957.0,70.20023160351344,864906.0912037084,823.3600773132384,7467946.809573588,0.1697848225405762,1438.8345368087753,0.15676973891814,1795.1207279801488,39916.905481023976,0.0,2171.5979055891257,13785.402094410874,0.0,0.0,0.0,0.0,0,1.0,coal,19198.337408095667,105106.73705163703,0.0
2017-01-01 08:00:00,16054.0,70.20023160351344,871715.5136692493,823.3600773132384,7543004.965111079,0.1697848225405762,1452.58960733205,0.15676973891814,1816.8396789325247,40304.970664341025,0.0,2252.35797608258,13801.64202391742,0.0,0.0,0.0,0.0,0,1.0,coal,19897.189007169232,105265.50498730075,0.0
2017-01-01 09:00:00,16784.0,70.34250864967733,923040.8225219365,889.9335455261188,8158718.001142343,0.04504766604567434,1500.488934094615,0.43762080048862273,2092.1965505410644,44436.7458012393,0.0,2906.8340701379802,13877.16592986202,0.0,0.0,0.0,0.0,0,1.0,coal,25924.28737768244,106037.48654958654,0.0
