"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
256,2006,12,0,700,"227","42","0","0","269","462","22","753",0,0,0,0,0,0,0,0
256,2006,12,0,800,"230","39","0","0","269","442","42","753",0,0,0,0,0,0,0,0
256,2006,12,0,900,"262","40","0","0","302","448","3","753",0,0,0,0,0,0,0,0
256,2006,12,0,1000,"249","53","0","0","302","432","19","753",0,0,0,0,0,0,0,0
256,2006,12,0,1100,"263","44","0","0","307","429","22","758",0,0,0,0,0,0,0,0
256,2006,12,0,1200,"204","103","0","0","307","429","22","758",0,0,0,0,0,0,0,0
179,2006,12,0,100,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
179,2006,12,0,200,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
179,2006,12,0,300,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
179,2006,12,0,400,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
179,2006,12,0,500,"1692","-513","0","0","1179","0","0","1179",0,0,0,0,0,0,0,0
179,2006,12,0,600,"1678","0","0","0","1678","0","0","1678",0,0,0,0,0,0,0,0
179,2006,12,0,700,"1674","0","0","0","1674","0","0","1674",0,0,0,0,0,0,0,0
179,2006,12,0,800,"1673","0","0","0","1673","0","0","1673",0,0,0,0,0,0,0,0
179,2006,12,0,900,"1689","-125","0","0","1564","0","0","1564",0,0,0,0,0,0,0,0
179,2006,12,0,1000,"1694","0","0","0","1694","0","0","1694",0,0,0,0,0,0,0,0
179,2006,12,0,1100,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
179,2006,12,0,1200,"1746","0","0","0","1746","0","0","1746",0,0,0,0,0,0,0,0
249,2006,12,0,100,"1242","0","54","540","1836","0","0","1836",0,0,0,0,0,0,0,0
249,2006,12,0,200,"1215","101","59","476","1851","0","0","1851",0,0,0,0,0,0,0,0
249,2006,12,0,300,"1178","120","86","452","1836","0","0","1836",0,0,0,0,0,0,0,0
249,2006,12,0,400,"1165","242","50","415","1872","0","0","1872",0,0,0,0,0,0,0,0
249,2006,12,0,500,"1190","242","165","240","1837","0","0","1837",0,0,0,0,0,0,0,0
249,2006,12,0,600,"1409","42","107","293","1851","0","0","1851",0,0,0,0,0,0,0,0
249,2006,12,0,700,"1651","8","142","52","1853","0","0","1853",0,0,0,0,0,0,0,0
249,2006,12,0,800,"1244","10","364","250","1868","0","0","1868",0,0,0,0,0,0,0,0
249,2006,12,0,900,"1360","115","128","259","1862","0","0","1862",0,0,0,0,0,0,0,0
249,2006,12,0,1000,"1230","115","98","402","1845","0","0","1845",0,0,0,0,0,0,0,0
249,2006,12,0,1100,"1165","10","162","515","1852","0","0","1852",0,0,0,0,0,0,0,0
249,2006,12,0,1200,"1190","10","199","453","1852","0","0","1852",0,0,0,0,0,0,0,0
234,2006,12,0,100,"9177","1169","210","0","10556","167","0","10723",0,0,0,0,0,0,0,0
234,2006,12,0,200,"11731","0","152","0","11883","169","0","12052",0,0,0,0,0,0,0,0
234,2006,12,0,300,"8446","2405","0","0","10851","173","0","11024",0,0,0,0,0,0,0,0
234,2006,12,0,400,"9313","1402","62","0","10777","173","0","10950",0,0,0,0,0,0,0,0
234,2006,12,0,500,"9088","708","306","0","10102","153","0","10255",0,0,0,0,0,0,0,0
234,2006,12,0,600,"9579","202","488","0","10269","-8","0","10261",0,0,0,0,0,0,0,0
