datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,dmg_easiur,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-10-29 04:00:00,47001.0,44.710740425531924,1743989.066589209,685.0569285172627,22927303.66305978,0.5378432611055249,9164.07902204724,0.4163635102357237,10425.342171468814,215590.70473431077,0.0,13407.83083004763,33593.16916995238,0.0,0.0,0.0,0.0,0,0.5,gas,119858.19623452389,245559.8508272185,0.0
2017-10-29 05:00:00,48110.0,45.2098352631579,1793861.2079619067,681.8648375426058,23672695.370378695,0.22913183999304113,13737.653467297845,0.2814155941813998,11082.660071632012,321759.50417756813,0.0,14064.121877509162,34045.878122490845,0.0,0.0,0.0,0.0,0,0.5,gas,125694.19187593418,249597.40597876618,0.0
2017-10-29 06:00:00,49891.0,45.4651677095954,1874565.817688831,838.5711538620742,24906032.444463864,0.37084208737387225,14266.007040442055,0.41924879285115557,11546.866266013056,339037.2287317135,0.0,14991.324192005828,34899.67580799419,0.0,0.0,0.0,0.0,0,1.0,coal,134203.4049478222,257926.60875801463,0.0
2017-10-29 07:00:00,52719.0,46.09048617268069,2004164.6308014554,708.6983635077586,26607034.37944657,0.23087894744226659,14681.668981262597,0.3473025126364017,12640.38233209406,354452.544826043,0.0,16139.021877509163,36579.97812249085,0.0,0.0,0.0,0.0,0,0.5,gas,145217.64323492837,274668.3005212621,0.0
2017-10-29 08:00:00,55401.0,46.820924801877005,2126206.4171438096,907.1847516665334,28696820.746686123,0.39145462210255616,14998.487374289274,0.3644520784275248,13973.889749504937,372672.02599340794,0.0,18032.308037629267,37368.691962370736,0.0,0.0,0.0,0.0,0,1.0,coal,164955.12599997586,282781.33215548197,0.0
2017-10-29 09:00:00,56882.0,46.925422346316324,2195621.719769659,813.9468126832628,29974769.39127965,1.115999219053949,16087.941664146652,0.7272754279093269,14768.885933878368,392194.7969004711,0.0,19513.308037629267,37368.691962370736,0.0,0.0,0.0,0.0,0,1.0,coal,178551.24799865307,282781.33215548197,0.0
2017-10-29 10:00:00,57781.0,46.95104986560776,2237817.186666121,430.11853350974525,30644712.677856028,0.0021726645740565006,16496.345963028733,0.3068173522297808,15093.26186991945,400934.5584957441,0.0,20112.817877509162,37668.18212249084,0.0,0.0,0.0,0.0,0,0.0,gas,184364.2950662513,285170.3970596973,0.0
2017-10-29 11:00:00,57750.0,46.95104986560776,2236361.7041202867,430.11853350974525,30631379.003317226,0.0021726645740565006,16496.278610426936,0.3068173522297808,15083.750532000327,400801.3690784694,0.0,20112.817877509162,37637.18212249084,0.0,0.0,0.0,0.0,0,0.0,gas,184364.2950662513,284923.1067580694,0.0
2017-10-29 12:00:00,57986.0,46.95104986560776,2247442.1518885707,430.11853350974525,30732886.977225527,0.0021726645740565006,16496.791359266415,0.3068173522297808,15156.159427126555,402014.4524064461,0.0,20112.817877509162,37873.18212249084,0.0,0.0,0.0,0.0,0,0.0,gas,184364.2950662513,286805.7038930428,0.0
2017-10-29 13:00:00,57513.0,46.95104986560776,2225234.3053021375,430.11853350974525,30529440.910875414,0.0021726645740565006,16495.76368892288,0.3068173522297808,15011.03481952187,399783.11450124043,0.0,20112.817877509162,37400.18212249084,0.0,0.0,0.0,0.0,0,0.0,gas,184364.2950662513,283032.532516592,0.0
2017-10-29 14:00:00,57138.0,46.92850459005273,2207635.406126531,903.1379112779343,30205659.65009202,0.6775782359998974,16262.94048001313,0.38579620435170736,14868.848299589401,395388.1593954968,0.0,19769.308037629267,37368.691962370736,0.0,0.0,0.0,0.0,0,1.0,coal,181031.19982435196,282781.33215548197,0.0
2017-10-29 15:00:00,57644.0,46.95104986560776,2231384.8928345325,430.11853350974525,30585786.43876519,0.0021726645740565006,16496.048307982084,0.3068173522297808,15051.227892663972,400345.9472000463,0.0,20112.817877509162,37531.18212249084,0.0,0.0,0.0,0.0,0,0.0,gas,184364.2950662513,284077.53346863226,0.0
2017-10-29 16:00:00,58331.0,47.0072337490289,2263642.482802758,863.3760082379672,30898387.27833664,0.5153567086937623,16517.80664861784,0.49026125804298204,15269.25564285945,403483.2086629911,0.0,20152.308037629267,38178.691962370736,0.0,0.0,0.0,0.0,0,1.0,coal,184730.60501473057,289242.78842382267,0.0
2017-10-29 17:00:00,59425.0,47.049194245225145,2315088.806632972,903.1379112779343,31862069.798734378,0.6775782359998974,17159.71171801755,0.38579620435170736,15755.30444022217,411572.5796337316,0.0,21246.308037629267,38178.691962370736,0.0,0.0,0.0,0.0,0,1.0,coal,195084.20719179875,289242.78842382267,0.0
2017-10-29 18:00:00,60301.0,48.73109335313113,2461020.9724563416,868.7725296038756,35503027.188223794,0.5817972385773837,22897.057615167378,0.27116514312047213,16393.330913307636,531419.4053655415,0.0,26628.861868249427,33672.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,245864.05668600675,256967.55612631651,0.0
2017-10-29 19:00:00,59679.0,48.629483171122345,2430757.887432879,1242.2732248517445,34959326.83711275,0.9392087871683166,22642.06412798247,0.39044582551556695,16197.185385439592,527924.5524892486,0.0,26006.861868249423,33672.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,240100.22063500588,256967.55612631651,0.0
2017-10-29 20:00:00,56721.0,47.29552147322498,2288658.3935170323,872.5928084057576,32669450.3566605,0.9321519397508329,21419.268577838593,1.2892568094874652,14303.33309294281,488617.815024864,0.0,23333.893764825618,33387.10623517436,0.0,0.0,0.0,0.0,0,1.0,coal,214831.32743066308,254123.21692483028,0.0
2017-10-29 21:00:00,53517.0,46.79069811505747,2137969.0177436494,682.2496108086191,30587038.00432029,0.2270907627670343,20800.586445938123,0.3449890760085851,13145.482237929438,458383.6035952371,0.0,22065.14533848634,31451.854661513647,0.0,0.0,0.0,0.0,0,0.5,gas,202734.66966159715,234937.94887328774,0.0
2017-10-29 22:00:00,51295.0,46.501142579613166,2034225.2553645985,819.24314871003,28890790.713892292,0.9149624991072061,19934.16474423283,0.6451273604887531,12360.549459810165,445619.79236948374,0.0,20398.13714306653,30896.862856933447,0.0,0.0,0.0,0.0,0,1.0,coal,187803.5482489373,229532.5613347072,0.0
2017-10-29 23:00:00,48087.0,45.80953842337632,1885967.0309625438,860.4171704029793,26018809.781137276,0.4172627025138834,16886.900428089408,0.4146061114921242,11003.493460830194,371469.2412608909,0.0,17781.38258505972,30305.61741494025,0.0,0.0,0.0,0.0,0,1.0,coal,161251.99910370607,223959.53324759298,0.0
2017-10-30 00:00:00,46854.0,45.556159140539116,1829639.6966047669,851.1050078100727,25175541.38891212,0.7754165024556303,13712.388309940909,0.4524705396087316,10275.837048627967,293455.7877028682,0.0,16973.70380364591,29880.296196354066,0.0,0.0,0.0,0.0,0,1.0,coal,153716.29997644178,219569.2967169859,0.0
2017-10-30 01:00:00,45808.0,45.2444342547986,1782145.4801750064,708.3934939088381,24419023.42126739,0.452306629046738,13302.40218290887,0.3359452986607387,9995.505618115661,279775.2840943902,0.0,16357.117961773034,29450.88203822694,0.0,0.0,0.0,0.0,0,0.5,gas,148069.4485200233,215242.02767177176,0.0
2017-10-30 02:00:00,46635.0,45.556159140539116,1819662.8977529889,851.1050078100727,24994662.71001337,0.7754165024556303,13557.418418774096,0.4524705396087316,10184.939316182765,289025.2625040117,0.0,16771.022730620574,29863.9772693794,0.0,0.0,0.0,0.0,0,1.0,coal,151830.99566349154,219413.07756520133,0.0
2017-10-30 03:00:00,48730.0,46.00151313609467,1915467.4105777415,716.5217789651597,26540639.33495162,0.26811568636704985,18434.501364474767,0.3264319554755462,11326.786731287422,411608.8298007614,0.0,18360.365961773034,30369.63403822694,0.0,0.0,0.0,0.0,0,0.5,gas,166510.1527644166,224580.6570283654,0.0
2017-10-30 04:00:00,51766.0,46.66013665708184,2056135.2340970023,834.0051958555862,29217989.516766626,0.36249851184514853,20376.283458195296,0.42412056523968195,12611.125373673633,452147.50533858384,0.0,20664.24726471432,31101.75273528566,0.0,0.0,0.0,0.0,0,1.0,coal,190020.99295018605,231447.536361471,0.0
2017-10-30 05:00:00,57513.0,47.77310756466386,2326437.929537464,815.6702778865114,33273203.33982696,0.2404638795466049,21971.672183482646,0.33354732965269834,15189.785675792844,518598.77717764024,0.0,23976.861868249416,33536.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,221179.8742674524,255532.5342323771,0.0
2017-10-30 06:00:00,63314.0,48.975708481747006,2605045.5026791836,906.9832538917717,37949820.23643037,0.6154370588235294,23788.88080592429,0.3639636085626911,17431.90554842794,557677.103245083,0.0,28785.617442352745,34528.382557647245,0.0,0.0,0.0,0.0,0,1.0,coal,266168.4057995234,266680.0895784879,0.0
2017-10-30 07:00:00,64747.0,49.00117416171617,2678588.222655306,702.9833216978084,39212715.4747793,0.5739319649370396,24971.797908121807,0.7292646790276343,18237.155287382022,596280.0458875974,0.0,30149.64444307577,34597.35555692422,0.0,0.0,0.0,0.0,0,0.5,gas,279244.40891810966,267376.6492639881,0.0
2017-10-30 08:00:00,64816.0,49.00117416171617,2681969.303672464,702.9833216978084,39263747.7673503,0.5739319649370396,25000.14550846848,0.7292646790276343,18274.814323211845,596937.4506292297,0.0,30184.144443075773,34631.85555692422,0.0,0.0,0.0,0.0,0,0.5,gas,279592.05567669513,267725.0654471564,0.0
2017-10-30 09:00:00,63287.0,48.88658955604102,2607088.812789527,890.6380895091116,37959305.88113145,0.4175430664086345,24252.469672910356,0.38074312277504696,17603.621834919915,574322.1048683985,0.0,28909.459099183496,34377.5409008165,0.0,0.0,0.0,0.0,0,1.0,coal,267321.52099661983,264894.57251390174,0.0
2017-10-30 10:00:00,62115.0,48.82624472845481,2549847.8771222625,888.9832539611764,37065118.59695826,0.33907134298376307,24128.167123572042,0.35388965366129843,17136.16005326683,564789.1653351029,0.0,28312.774486926643,33802.225513073354,0.0,0.0,0.0,0.0,0,1.0,coal,261743.21510213672,258275.38429640763,0.0
2017-10-30 11:00:00,60983.0,48.629483171122345,2494715.125106829,1253.22315234709,36128633.817011066,0.9894428221287852,23459.40270118334,0.44156516094434894,16802.836217510125,555244.035431753,0.0,27310.861868249434,33672.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,252562.99463953509,256967.55612631651,0.0
2017-10-30 12:00:00,60482.0,48.31152779776751,2470386.0994888246,705.0632729909983,35710852.70517061,0.277739668369312,23310.397617284216,0.39024716502473766,16634.66778279776,552576.6479610073,0.0,26855.42445329052,33626.57554670947,0.0,0.0,0.0,0.0,0,0.5,gas,248363.047632795,256514.45270602463,0.0
2017-10-30 13:00:00,59636.0,48.175986701074436,2429609.155555643,729.1425775482708,35120921.79850839,0.28961366233340335,23086.255544577685,0.5787973991854855,16121.488432503842,550553.1155992545,0.0,26099.86186824943,33536.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,241040.36192488996,255532.5342323771,0.0
2017-10-30 14:00:00,59130.0,47.92211737832586,2405334.7390292357,842.0890376756598,34714011.777418904,0.47466512627332863,22950.20440217376,0.49024502412137333,15895.223265475885,548815.946138137,0.0,25593.861868249427,33536.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,236495.70717648132,255532.5342323771,0.0
2017-10-30 15:00:00,59156.0,47.92211737832586,2406580.7140810722,842.0890376756598,34735463.52544134,0.47466512627332863,22957.266922730156,0.49024502412137333,15905.564753138842,548905.716960399,0.0,25619.861868249427,33536.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,236724.29479407176,255532.5342323771,0.0
2017-10-30 16:00:00,59465.0,47.92211737832586,2421388.648350975,842.0890376756598,34990409.30001562,0.47466512627332863,23041.202263188854,0.49024502412137333,16028.469356517828,549972.6086557426,0.0,25928.86186824943,33536.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,239440.97071081935,255532.5342323771,0.0
2017-10-30 17:00:00,61370.0,48.63064307101472,2513535.1824977016,865.5773436101699,36471362.85797,0.46356581835766764,23644.518818322784,0.36527491237201204,16944.493571319224,559145.2224439544,0.0,27697.861868249434,33672.13813175056,0.0,0.0,0.0,0.0,0,1.0,coal,256199.8088695642,256967.55612631651,0.0
2017-10-30 18:00:00,62516.0,48.83349791530268,2569266.927615396,777.5976671811873,37318350.725498684,0.21109839935819955,23684.785592652053,0.4587950014791655,17099.727682813176,550145.5471083295,0.0,28325.956611482037,34190.04338851795,0.0,0.0,0.0,0.0,0,0.5,gas,261833.82812833163,262675.15902554314,0.0
2017-10-30 19:00:00,62321.0,48.83349791530268,2559744.3955219123,777.5976671811873,37167718.42606327,0.21109839935819955,23667.47699428861,0.4587950014791655,17014.981648568904,548648.2230298467,0.0,28228.456611482037,34092.54338851795,0.0,0.0,0.0,0.0,0,0.5,gas,260918.32360843418,261521.04869915967,0.0
2017-10-30 20:00:00,60297.0,48.5702982434285,2461098.820888021,864.7080794609396,35524382.79480473,0.3786534572143235,22906.413043426255,0.3175289461554115,16400.19349226021,535506.6773854471,0.0,26631.114629884996,33665.885370114986,0.0,0.0,0.0,0.0,0,1.0,coal,246170.5912801193,256906.19966866978,0.0
2017-10-30 21:00:00,56216.0,47.17671949765055,2266132.7721604505,849.4777433051338,32465249.119779468,0.5535690950987914,21207.54653996917,0.5100050446624551,13680.792850898104,471179.4130338114,0.0,23285.80200263203,32930.197997367955,0.0,0.0,0.0,0.0,0,1.0,coal,214327.8656338448,249644.83533899192,0.0
2017-10-30 22:00:00,52479.0,46.54663711188811,2091208.7434749256,680.2838659046841,29876567.643742725,0.211049609092585,20693.044482044217,0.4250466656868852,12844.47692693262,460124.47543628805,0.0,21420.535560528624,31058.464439471358,0.0,0.0,0.0,0.0,0,0.5,gas,197277.7810510716,231033.9359654445,0.0
2017-10-30 23:00:00,49424.0,45.905200255090016,1949707.3049034593,861.070013192515,27171140.935468543,0.4246701579262863,18727.162563372287,0.4180870373619364,11545.216742603094,418573.5990425078,0.0,19063.549044908665,30360.450955091314,0.0,0.0,0.0,0.0,0,1.0,coal,173269.9260950351,224488.49103364343,0.0
2017-10-31 00:00:00,47235.0,45.37512465778049,1849657.1303082434,853.1662358137451,25556988.87479657,0.7454558363119353,13822.009671780863,0.4388528646456211,10402.686710202372,294355.7441290064,0.0,17409.375222582203,29825.624777417775,0.0,0.0,0.0,0.0,0,1.0,coal,158065.07014988476,219046.0809391717,0.0
2017-10-31 01:00:00,46762.0,45.30552774262931,1828201.9383641696,685.9202749295322,25212666.590309095,0.4291282248499926,13613.89464644323,0.2698556201687332,10267.053727155866,287965.81003038544,0.0,17120.03174381359,29641.96825618639,0.0,0.0,0.0,0.0,0,0.5,gas,155384.40945012405,217232.00920533907,0.0
2017-10-31 02:00:00,46347.0,45.12823712905452,1809427.839546511,714.0984122863491,24968517.13806974,0.4278439498004427,13582.7376618596,0.4250877524707621,10182.718805888071,286777.7470394338,0.0,17038.963182835527,29308.03681716445,0.0,0.0,0.0,0.0,0,0.5,gas,154571.05779872573,213742.54559984658,0.0
2017-10-31 03:00:00,47926.0,45.65281568779261,1881145.4724615575,713.937348871447,26093198.038758643,0.4591153406640843,14134.042523939599,0.7216050808737609,10602.02640429232,305592.23331971734,0.0,17944.330725102114,29981.669274897864,0.0,0.0,0.0,0.0,0,1.0,coal,162906.1642162651,220621.9989406377,0.0
2017-10-31 04:00:00,50468.0,46.30627368538206,1997906.4992426184,885.2160297155644,28006164.20196021,0.5591896387318027,19161.13193027634,0.43746260986552776,11865.28530547286,428439.1729618445,0.0,19847.417399639442,30620.582600360536,0.0,0.0,0.0,0.0,0,1.0,coal,180661.9102429346,227166.8497278859,0.0
2017-10-31 05:00:00,57212.0,47.29552147322498,2313189.4998901864,882.3557837958936,33123998.645492703,0.936486644963203,21488.218919740997,1.2791199933713162,14193.444628903082,479203.0896831167,0.0,23841.700368241167,33370.29963175882,0.0,0.0,0.0,0.0,0,1.0,coal,219675.420919633,253955.24975304786,0.0
