"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"ND","R M Heskett","2790","B2","08-01-2017","0","1","58","","189.8","Measured",".273","Calculated",".355","Measured","246.37","Calculated","75.6","Measured",".109","Calculated","694","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","1","1","58","","220.4","Measured",".319","Calculated",".359","Measured","248.356","Calculated","75.3","Measured",".109","Calculated","691.8","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","2","1","58","","245.5","Measured",".353","Calculated",".354","Measured","246.03","Calculated","75.7","Measured",".109","Calculated","695","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","3","1","58","","283.3","Measured",".403","Calculated",".345","Measured","242.708","Calculated","76.6","Measured",".109","Calculated","703.5","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","4","1","59","","284","Measured",".403","Calculated",".357","Measured","251.471","Calculated","76.7","Measured",".109","Calculated","704.4","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","5","1","59","","248.5","Measured",".36","Calculated",".377","Measured","260.092","Calculated","75.1","Measured",".109","Calculated","689.9","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","6","1","59","","257.2","Measured",".374","Calculated",".386","Measured","265.568","Calculated","74.9","Measured",".109","Calculated","688","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","7","1","59","","272.7","Measured",".394","Calculated",".382","Measured","264.726","Calculated","75.4","Measured",".109","Calculated","693","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","8","1","59","","270","Measured",".386","Calculated",".367","Measured","256.717","Calculated","76.2","Measured",".109","Calculated","699.5","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","9","1","59","","253.2","Measured",".362","Calculated",".355","Measured","248.358","Calculated","76.2","Measured",".109","Calculated","699.6","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","10","1","59","","232.1","Measured",".334","Calculated",".362","Measured","251.337","Calculated","75.6","Measured",".109","Calculated","694.3","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","11","1","59","","268.9","Measured",".385","Calculated",".34","Measured","237.388","Calculated","76","Measured",".109","Calculated","698.2","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","12","1","59","","221.5","Measured",".318","Calculated",".348","Measured","242.417","Calculated","75.8","Measured",".109","Calculated","696.6","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","13","1","62","","312.9","Measured",".419","Calculated",".302","Measured","225.564","Calculated","81.3","Measured",".109","Calculated","746.9","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","14","1","61","","256.7","Measured",".358","Calculated",".32","Measured","229.312","Calculated","78","Measured",".109","Calculated","716.6","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","15","1","59","","194","Measured",".277","Calculated",".344","Measured","240.731","Calculated","76.2","Measured",".109","Calculated","699.8","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","16","1","58","","215","Measured",".308","Calculated",".347","Measured","242.345","Calculated","76","Measured",".109","Calculated","698.4","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","17","1","58","","263.2","Measured",".376","Calculated",".341","Measured","238.632","Calculated","76.2","Measured",".109","Calculated","699.8","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","18","1","59","","339.6","Measured",".479","Calculated",".332","Measured","235.521","Calculated","77.2","Measured",".109","Calculated","709.4","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","19","1","59","","308.8","Measured",".445","Calculated",".35","Measured","242.83","Calculated","75.5","Measured",".109","Calculated","693.8","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","20","1","59","","300.6","Measured",".434","Calculated",".355","Measured","245.98","Calculated","75.4","Measured",".109","Calculated","692.9","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","21","1","59","","357.2","Measured",".508","Calculated",".325","Measured","228.703","Calculated","76.6","Measured",".109","Calculated","703.7","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","22","1","59","","316.3","Measured",".455","Calculated",".34","Measured","236.606","Calculated","75.8","Measured",".109","Calculated","695.9","532","1875"
"ND","R M Heskett","2790","B2","08-01-2017","23","1","58","","297.2","Measured",".429","Calculated",".352","Measured","243.795","Calculated","75.4","Measured",".109","Calculated","692.6","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","0","1","59","","306.3","Measured",".443","Calculated",".352","Measured","243.373","Calculated","75.3","Measured",".109","Calculated","691.4","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","1","1","58","","298.2","Measured",".431","Calculated",".361","Measured","249.632","Calculated","75.3","Measured",".109","Calculated","691.5","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","2","1","58","","341.1","Measured",".489","Calculated",".348","Measured","242.939","Calculated","76","Measured",".109","Calculated","698.1","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","3","1","58","","342.9","Measured",".487","Calculated",".345","Measured","243.122","Calculated","76.7","Measured",".109","Calculated","704.7","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","4","1","59","","288.7","Measured",".416","Calculated",".366","Measured","254.114","Calculated","75.6","Measured",".109","Calculated","694.3","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","5","1","58","","262.2","Measured",".38","Calculated",".373","Measured","257.519","Calculated","75.2","Measured",".109","Calculated","690.4","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","6","1","59","","270.4","Measured",".389","Calculated",".367","Measured","255.175","Calculated","75.7","Measured",".109","Calculated","695.3","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","7","1","59","","292.5","Measured",".421","Calculated",".363","Measured","251.922","Calculated","75.6","Measured",".109","Calculated","694","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","8","1","60","","368.2","Measured",".522","Calculated",".355","Measured","250.204","Calculated","76.7","Measured",".109","Calculated","704.8","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","9","1","59","","309.1","Measured",".451","Calculated",".369","Measured","253.023","Calculated","74.7","Measured",".109","Calculated","685.7","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","10","1","59","","340","Measured",".492","Calculated",".364","Measured","251.378","Calculated","75.2","Measured",".109","Calculated","690.6","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","11","1","59","","330.6","Measured",".483","Calculated",".363","Measured","248.619","Calculated","74.6","Measured",".109","Calculated","684.9","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","12","1","59","","335.8","Measured",".489","Calculated",".349","Measured","239.728","Calculated","74.8","Measured",".109","Calculated","686.9","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","13","1","59","","312.1","Measured",".455","Calculated",".352","Measured","241.648","Calculated","74.7","Measured",".109","Calculated","686.5","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","14","1","59","","316.2","Measured",".46","Calculated",".35","Measured","240.52","Calculated","74.8","Measured",".109","Calculated","687.2","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","15","1","58","","290.9","Measured",".424","Calculated",".357","Measured","244.724","Calculated","74.6","Measured",".109","Calculated","685.5","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","16","1","59","","322.1","Measured",".468","Calculated",".356","Measured","245.035","Calculated","74.9","Measured",".109","Calculated","688.3","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","17","1","58","","290","Measured",".425","Calculated",".37","Measured","252.229","Calculated","74.2","Measured",".109","Calculated","681.7","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","18","1","59","","329.9","Measured",".473","Calculated",".332","Measured","231.802","Calculated","76","Measured",".109","Calculated","698.2","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","19","1","59","","330","Measured",".471","Calculated",".327","Measured","229.292","Calculated","76.3","Measured",".109","Calculated","701.2","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","20","1","59","","299.4","Measured",".435","Calculated",".345","Measured","237.429","Calculated","74.9","Measured",".109","Calculated","688.2","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","21","1","58","","290.1","Measured",".418","Calculated",".346","Measured","239.951","Calculated","75.5","Measured",".109","Calculated","693.5","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","22","1","58","","247.4","Measured",".352","Calculated",".341","Measured","239.45","Calculated","76.4","Measured",".109","Calculated","702.2","532","1875"
"ND","R M Heskett","2790","B2","08-02-2017","23","1","59","","228.4","Measured",".332","Calculated",".364","Measured","250.214","Calculated","74.8","Measured",".109","Calculated","687.4","532","1875"
"ND","R M Heskett","2790","B2","08-03-2017","0","1","58","","184.9","Measured",".267","Calculated",".368","Measured","254.472","Calculated","75.3","Measured",".109","Calculated","691.5","532","1875"
