"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","OP_HOUR","OP_TIME","GLOAD (MW)","SLOAD (1000lb/hr)","SO2_MASS (lbs)","SO2_MASS_MEASURE_FLG","SO2_RATE (lbs/mmBtu)","SO2_RATE_MEASURE_FLG","NOX_RATE (lbs/mmBtu)","NOX_RATE_MEASURE_FLG","NOX_MASS (lbs)","NOX_MASS_MEASURE_FLG","CO2_MASS (tons)","CO2_MASS_MEASURE_FLG","CO2_RATE (tons/mmBtu)","CO2_RATE_MEASURE_FLG","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"ND","R M Heskett","2790","B2","12-01-2017","0","1","59","","427.9","Measured",".655","Calculated",".299","Measured","195.247","Calculated","71.1","Measured",".109","Calculated","653","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","1","1","59","","445.7","Measured",".678","Calculated",".284","Measured","186.73","Calculated","71.6","Measured",".109","Calculated","657.5","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","2","1","59","","439.5","Measured",".678","Calculated",".29","Measured","188.094","Calculated","70.6","Measured",".109","Calculated","648.6","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","3","1","59","","434.7","Measured",".667","Calculated",".292","Measured","190.18","Calculated","70.9","Measured",".109","Calculated","651.3","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","4","1","58","","397.3","Measured",".618","Calculated",".308","Measured","197.89","Calculated","70","Measured",".109","Calculated","642.5","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","5","1","58","","408.2","Measured",".617","Calculated",".316","Measured","209.066","Calculated","72","Measured",".109","Calculated","661.6","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","6","1","59","","361.1","Measured",".545","Calculated",".318","Measured","210.866","Calculated","72.2","Measured",".109","Calculated","663.1","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","7","1","59","","344.4","Measured",".525","Calculated",".326","Measured","213.986","Calculated","71.5","Measured",".109","Calculated","656.4","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","8","1","59","","295.1","Measured",".456","Calculated",".326","Measured","210.922","Calculated","70.4","Measured",".109","Calculated","647","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","9","1","59","","294.8","Measured",".455","Calculated",".326","Measured","211.411","Calculated","70.6","Measured",".109","Calculated","648.5","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","10","1","59","","370.7","Measured",".567","Calculated",".323","Measured","211.145","Calculated","71.2","Measured",".109","Calculated","653.7","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","11","1","59","","410","Measured",".632","Calculated",".319","Measured","207.095","Calculated","70.7","Measured",".109","Calculated","649.2","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","12","1","58","","436.2","Measured",".678","Calculated",".323","Measured","207.915","Calculated","70.1","Measured",".109","Calculated","643.7","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","13","1","58","","468.9","Measured",".723","Calculated",".304","Measured","197.235","Calculated","70.6","Measured",".109","Calculated","648.8","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","14","1","59","","526.4","Measured",".807","Calculated",".301","Measured","196.403","Calculated","71","Measured",".109","Calculated","652.5","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","15","1","59","","432.6","Measured",".656","Calculated",".313","Measured","206.549","Calculated","71.8","Measured",".109","Calculated","659.9","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","16","1","59","","437.1","Measured",".666","Calculated",".319","Measured","209.296","Calculated","71.4","Measured",".109","Calculated","656.1","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","17","1","59","","462.1","Measured",".703","Calculated",".324","Measured","212.965","Calculated","71.6","Measured",".109","Calculated","657.3","532","1875"
"ND","R M Heskett","2790","B2","12-01-2017","18","1","59","","431","Measured",".66","Calculated",".335","Measured","218.889","Calculated","71.1","Measured",".109","Calculated","653.4","532","1875"
